Sample_ID,purification_Time_Point,Conc,Amount,Percent_CV
107649,Pre,18,6.6,12
8478,Pre,13.907,8.9358,15
8799_Pre,Pre,12,10.4804,7
107211,Pre,31,10.2,15
106875,Pre,58,35,11
107649,Post,11.4,6.6,9
8478,Post,4.9712,8.9358,21
8799_Pre,Post,1.5196,10.4804,14
107211,Post,20.8,10.2,8
106875,Post,23,35,13
